FID,name,stadt,plz,strasse,hausnr,etage,raumnummer,oeffnungszeiten,kategorie,preis,wickeln,standort_beschreibung,zustand,einschraenkungen,mail,website,telefon,zustaendiges_referat,erzeugt_bearbeitet,din_18040_1,toilette_fuer_alle,eignung_blindenhunde,eingangstuer_typ,eingangstuer_glasmarkierung,eingangstuer_klingel_taster,eingangstuer_leichte_fuehrung,eingangstuer_radar_schluessel,eingangstuer_euro_schluessel,eingangstuer_wendekreis,eingangstuer_breite,rampe,rampe_steigung,treppe_vorhanden,treppe_antirutsch,treppe_blindenschrift,treppe_gelaender,treppe_kontrast_visuell,treppe_kontrast_taktil,treppe_stufenanzahl,treppe_stufenhoehe,rollstuhllift,eingangsbereich_beschreibung,gebaeudeinneres_gangbreite,gebaeudeinneres_induktionsschleifen,gebaeudeinneres_fuehrungsrillen,gebaeudeinneres_ruhig,gebaeudeinneres_beleuchtet,aufzug_vorhanden,aufzug_tuerbreite,aufzug_tiefe,aufzug_breite,wctuer_typ,wctuer_glasmarkierung,wctuer_klingel_taster,wctuer_leichte_fuehrung,wctuer_radar_schluessel,wctuer_euro_schluessel,wctuer_wendekreis,wctuer_breite,wctuer_bemerkung,wc_badewanne,wc_dusche,wc_spiegel,wc_gelaender,wc_deckenlifter,wc_standlifter,wc_liege,wc_spiegelhoehe,wc_handtuchspenderhoehe,wc_seifenspender_hoehe,wc_waschbecken_oberkante,wc_waschbecken_hoehe_unterfahrbar,wc_waschbecken_tiefe_unterfahrbar,wc_buegel_rechts,wc_buegel_links,wc_buegel_distanz,wc_buegelhoehe,wc_sitzhoehe,wc_platz_davor,wc_platz_rechts,wc_platz_links,wc_spuelknopf_hinten,wc_spuelknopf_rechts,wc_spuelknopf_links,wc_spuelknopf_hoehe,wc_position_notruf,wc_hoehe_notruf,wc_bermerkung,foto,shape
wc_finder_opendata.11,"Öffentliche Toilette ""Behindertengerecht""",München,81541,St.-Martin-Str.,41,EG,,Täglich 08:00 Uhr bis 16:00 Uhr,barrierefrei,,0,,voll funktionsfähig,,gsr-sfm@muenchen.de,,,GSR,06.09.2023 / 06.09.2023,1,1,0,Öffnet nach außen/Türanschlag links,1,1,1,0,0,150,110,,,0,0,0,0,0,0,0,0,0,,150,0,0,1,1,1,110,150,150,Öffnet nach außen/Türanschlag links,0,0,0,0,0,150,90,Tür klemmt leicht,0,0,1,0,0,0,1,90- 210,100,,78,65,54,1,1,70,75,48,150,130,50,1,1,0,95,links,100,,,POINT (693150.0945008717 5332921.548697872)
wc_finder_opendata.12,"Öffentliche Toilette ""Herren""",München,81541,St.-Martin-Str.,41,1.UG,,Wie Friedhof,männlich,,0,,voll funktionsfähig,,gsr-sfm@muenchen.de,,,GSR,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693151.7800008717 5332919.029997871)
wc_finder_opendata.13,"Öffentliche Toilette ""Damen""",München,81541,St.-Martin-Str.,41,1.UG,,Wie Friedhof,weiblich,,0,,voll funktionsfähig,,gsr-sfm@muenchen.de,,,GSR,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693152.2700008717 5332915.799997873)
wc_finder_opendata.14,Ostfriedhof ,München,81541,St.-Martins-Platz,1,EG,4.1.005,Täglich 08:00 Uhr bis 17.00 Uhr,barrierefrei,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,1,1,1,Öffnet nach innen/Türanschlag links,0,1,1,0,0,150,93,,,0,,,,,,,,,,,0,0,1,1,,,,,,,,,,,,,,0,0,1,1,0,0,0,136,118,,80,70,,1,1,71,72,51,130,95,240,1,,,110,rechts,95,,,POINT (692610.3378008597 5332674.392197908)
wc_finder_opendata.15,Ostfriedhof ,München,81541,St.-Martins-Platz,1,EG,4.1.002,Täglich 08:00 Uhr bis 17.00 Uhr,weiblich,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (692607.8888008597 5332674.395797908)
wc_finder_opendata.16,Ostfriedhof ,München,81541,St.-Martins-Platz,1,EG,4.1.001,Täglich 08:00 Uhr bis 17.00 Uhr,männlich,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (692604.5529008596 5332675.137097909)
wc_finder_opendata.17,Friedhof Haidhausen,München,81675,Einsteinstr.,74,EG,1.1.005,Täglich 08:00 Uhr bis 17.00 Uhr,weiblich,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693778.0326008855 5334396.017697825)
wc_finder_opendata.18,Friedhof Haidhausen,München,81675,Einsteinstr.,74,EG,1.1.003,Täglich 08:00 Uhr bis 17.00 Uhr,männlich,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693777.6497008854 5334392.724597826)
wc_finder_opendata.19,Friedhof Riem Alter Teil,München,81829,Am Mitterfeld,68,EG,1.1.006,Täglich 08:00 Uhr bis 17.00 Uhr,barrierefrei,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,1,1,1,Öffnet nach außen/Türanschlag links,0,1,1,0,0,180,115,,,0,,,,,,,,,,,0,0,1,1,,,,,,,,,,,190,115,,0,0,0,0,0,0,0,mind. 100,110,,85,75,,1,1,90,70,40,97,85,50,1,0,0,80,rechts,94,1 Steckdose,,POINT (699400.3000010197 5334451.459997391)
wc_finder_opendata.20,Friedhof Riem Neuer Teil,München,81829,Am Mitterfeld,68,EG,1.2.1.009,Täglich 08:00 Uhr bis 17.00 Uhr,barrierefrei,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,1,1,1,Öffnet nach außen/Türanschlag links,0,1,1,0,0,180,102,,,,,,,,,,,,,,0,0,1,1,,,,,,,,,,,180,102,,0,0,1,0,0,0,0,120,100,,85,75,,1,1,90,70,45,150,96,96,0,1,0,86,links,60,,,POINT (699343.2600010183 5334516.779997395)
wc_finder_opendata.21,Friedhof Riem Neuer Teil,München,81829,Am Mitterfeld,68,EG,1.2.1.008,Täglich 08:00 Uhr bis 17.00 Uhr,weiblich,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (699341.8600010182 5334514.679997395)
wc_finder_opendata.22,Friedhof Riem Neuer Teil,München,81829,Am Mitterfeld,68,EG,1.2.1.007,Täglich 08:00 Uhr bis 17.00 Uhr,männlich,,0,,voll funktionsfähig,,ostfriedhof@muenchen.de,,858367910,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (699340.7400010182 5334512.579997395)
wc_finder_opendata.23,Öffentliche Toilette Eingang Stadelheimerstr. 20/22,München,81549,Stadelheimerstrasse,22,EG,,"Täglich, Nov-Feb bis 17 Uhr, im März bis 18:00 Uhr. Apr-Aug bis 20:00 Uhr, Sep-Okt bis 19 Uhr",barrierefrei,,0,"Toilettenraum für 1 Person, keine zusätz. Innentüren",voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,1,0,1,Öffnet nach außen/Türanschlag rechts,0,0,1,0,0,130,88,fest,"3,00%",0,0,0,0,0,0,0,0,0,,240,0,0,1,1,0,,,,,0,0,1,0,0,,,,0,0,0,0,1,0,0,0,107,,92,73,56,1,1,75,85,51,178,88,94,0,0,1,93,nicht vorhanden,,,,POINT (693214.8436282376 5330884.433556712)
wc_finder_opendata.24,Öffentliche Toilette Eingang Stadelheimerstr. 20/22,München,81549,Stadelheimerstrasse,22,EG,,"Täglich, Nov-Feb bis 17 Uhr, im März bis 18:00 Uhr. Apr-Aug bis 20:00 Uhr, Sep-Okt bis 19 Uhr",männlich,,0,,voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693213.6431008736 5330886.635797873)
wc_finder_opendata.25,Öffentliche Toilette Eingang Stadelheimerstr. 20/22,München,81549,Stadelheimerstrasse,22,EG,,"Täglich, Nov-Feb bis 17 Uhr, im März bis 18:00 Uhr. Apr-Aug bis 20:00 Uhr, Sep-Okt bis 19 Uhr",weiblich,,0,,voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693215.7566008735 5330881.920697872)
wc_finder_opendata.26,Öffentliche Toilette Friedhofsgelände / an der Aussegnungshalle,München,81549,Stadelheimerstrasse,24,EG,,"Täglich, Nov-Feb bis 17 Uhr, im März bis 18:00 Uhr. Apr-Aug bis 20:00 Uhr, Sep-Okt bis 19 Uhr",barrierefrei,,0,"Toilettenraum für 1 Person, keine zusätz. Innentüren",voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,1,0,1,Öffnet nach innen/Türanschlag links,0,0,1,0,1,130,93,fest,"3,00%",0,0,0,0,0,0,0,0,0,,240,0,0,1,1,0,,,,,0,0,1,0,1,,,,0,0,1,0,0,0,0,84,92,,81,65,50,1,1,72,85,45,160,96,91,1,0,0,100,links,10,,,POINT (693254.7200008745 5330618.24999787)
wc_finder_opendata.27,Öffentliche Toilette Friedhofsgelände / an der Aussegnungshalle,München,81549,Stadelheimerstrasse,24,EG,,"Täglich, Nov-Feb bis 17 Uhr, im März bis 18:00 Uhr. Apr-Aug bis 20:00 Uhr, Sep-Okt bis 19 Uhr",männlich,,0,,voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693256.8200008746 5330619.509997869)
wc_finder_opendata.28,Öffentliche Toilette Friedhofsgelände / an der Aussegnungshalle,München,81549,Stadelheimerstrasse,24,EG,,"Täglich, Nov-Feb bis 17 Uhr, im März bis 18:00 Uhr. Apr-Aug bis 20:00 Uhr, Sep-Okt bis 19 Uhr",weiblich,,0,,voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693259.4800008746 5330620.62999787)
wc_finder_opendata.29,Öffentliche Toilette im Verwaltungsgebäude,München,81549,Stadelheimerstrasse,24,EG,,"Täglich, Mo-Do 8-12Uhr 13-15Uhr, Fr 8-12Uhr",männlich,,0,,voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693269.7890008749 5330742.990897868)
wc_finder_opendata.30,Öffentliche Toilette im Verwaltungsgebäude,München,81549,Stadelheimerstrasse,24,EG,,"Täglich, Mo-Do 8-12Uhr 13-15Uhr, Fr 8-12Uhr",weiblich,,0,,voll funktionsfähig,, kommunalreferat@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693263.8624008747 5330739.6982978685)
wc_finder_opendata.31,Öffentliche Damentoilette Haupteingang Eisentor mit barrierefreier Kabine,München,81737,Hochäckerstr.,90,EG,,Täglich ab 8 Uhr Schließung je nach Friedhofsöffnungszeien,weiblich und barrierefrei,,,Kabine behindertengerecht mit Einschränkungen,teilweise Beeinträchtigung,kein elektrischer Türöffner vorhanden und keine Notrufschnur,neuer-suedfriedhof@muenchen.de,,4028794380,Kommunalreferat,06.09.2023 / 06.09.2023,0,0,1,Öffnet nach innen/Türanschlag rechts,0,0,0,0,0,160,83,fest,"4,00%",0,0,0,1,0,0,0,,0,Eingang mit fester Rampe,96,0,0,1,1,0,,,,Öffnet nach innen/Türanschlag rechts,0,0,0,0,0,ca. 100,91.5,kein Elektrischer Türöffner,0,0,1,0,0,0,0,96,86,90,82,72,45,1,1,65.5,42,42,200,70,74,1,0,0,100,nicht vorhanden,nicht vorhanden,Tür hat keinen elektrischen Türöffner und keine Notfallschnur,,POINT (695226.7185009194 5330806.9104977315)
wc_finder_opendata.32,Öffentliche Herrentoilette Haupteingang Eisentor mit barrierefreier Kabine,München,81737,Hochäckerstr.,90,EG,,Täglich ab 8 Uhr Schließung je nach Friedhofsöffnungszeien,männlich und barrierefrei,,,Kabine behindertengerecht mit Einschränkungen,teilweise Beeinträchtigung,kein elektrischer Türöffner vorhanden und keine Notrufschnur,neuer-suedfriedhof@muenchen.de,,4028794380,Kommunalreferat,06.09.2023 / 06.09.2023,0,0,1,Öffnet nach innen/Türanschlag links,0,0,0,0,0,160,83,fest,"4,00%",0,0,0,1,0,0,0,,0,Eingang mit fester Rampe,96,0,0,1,1,0,,,,Öffnet nach innen/Türanschlag links,0,0,0,0,0,ca. 100,91.5,kein Elektrischer Türöffner,0,0,1,0,0,0,0,88,87.5,91,78,68,45,1,1,65,42,42,210,74.5,70,1,0,0,100,nicht vorhanden,nicht vorhanden,Tür hat keinen elektrischen Türöffner und keine Notfallschnur,,POINT (695230.9757009195 5330802.65339773)
wc_finder_opendata.33,Besuchertoilette Damen hinter Aussegnungshalle,München,81737,Hochäckerstr.,90,EG,2.1.3.008,Täglich ab 8 Uhr Schließung je Friedhofsöffnungszeiten,weiblich,,0,Besuchertoilette Damen hinter Aussegnungshalle,voll funktionsfähig,,neuer-suedfriedhof@muenchen.de,,4028794380,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (695150.282400918 5330611.116597737)
wc_finder_opendata.34,Besuchertoilette Herren hinter Aussegnungshalle,München,81737,Hochäckerstr.,90,EG,2.1.3.012,Täglich ab 8 Uhr Schließung je Friedhofsöffnungszeiten,männlich,,0,Besuchertoilette Herren hinter Aussegnungshalle,voll funktionsfähig,,neuer-suedfriedhof@muenchen.de,,4028794380,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (695153.907500918 5330615.371297737)
wc_finder_opendata.35,Barrierefreie Toilette hinter Aussegnungshalle sehr beengt !,München,81737,Hochäckerstr.,90,EG,2.1.3.011,Täglich ab 8 Uhr Schließung je nach Friedhofsöffnungszeien,barrierefrei,,0,Besuchertoilette behindertengerecht mit Einschränkungen,teilweise Beeinträchtigung,kein elektrischer Türöffner vorhanden und keine Notrufschnur,neuer-suedfriedhof@muenchen.de,,4028794380,Kommunalreferat,06.09.2023 / 06.09.2023,0,1,1,Öffnet nach außen/Türanschlag rechts,0,0,0,0,0,,97,,,,,0,0,0,,0,,0,Eingangstür führt vom Freien in einen Gang hiervon gehen die Toilettentüren (kein Wendekreis) ab.,131cm - 29 cm Heizung,0,0,1,1,0,,,,Öffnet nach außen/Türanschlag rechts,0,0,0,0,0,,81,kein Elektrischer Türöffner,0,0,1,1,0,0,0,129,100,96,82.5,kleines Waschbecken keine Unterfahrbarkeit,26,1,1,70,69,51,65,20cm - teilweise Toilettenrollenhalter 11cm,75cm - teilweise 11cm Heizung,1,0,0,117,nicht vorhanden,nicht vorhanden,Eingangstür führt in einen kleinen Gang von dort gelangt man zur Toilettentür mit  81 cm. Im Innern gibt es keinen Wendekreis.,,POINT (695157.3618009181 5330618.195997737)
wc_finder_opendata.36,Besuchertoilette Damen Friedhof Perlach,München,81737,Putzbrunnerstr.,51,EG,,Täglich ab 8 Uhr Schließung je Friedhofsöffnungszeiten,weiblich,,0,Besuchertoilette Damen Friedhof Perlach,voll funktionsfähig,,neuer-suedfriedhof@muenchen.de,,4028794380,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (696619.3997009523 5330634.599697627)
wc_finder_opendata.37,Besuchertoilette Herren Friedhof Perlach,München,81737,Putzbrunnerstr.,51,EG,,Täglich ab 8 Uhr Schließung je Friedhofsöffnungszeiten,männlich,,0,Besuchertoilette Herren Friedhof Perlach,voll funktionsfähig,,neuer-suedfriedhof@muenchen.de,,4028794380,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (696621.4435009527 5330639.079597626)
wc_finder_opendata.38,Öffentliche Toilette Nordfriedhof Herren,München,80805,Ungererstraße,130,EG,1.1.6.019,s. Friedhofsöffnungszeiten,männlich,,0,Arkadengang nördl. Aussegnungshalle,voll funktionsfähig,,nordfriedhof@muenchen.de,https://www.muenchen.de/,370039820,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693298.9651008735 5339003.495197849)
wc_finder_opendata.39,Öffentliche Toilette Nordfriedhof Damen,München,80805,Ungererstraße,130,EG,1.1.6.017,s. Friedhofsöffnungszeiten,weiblich,,0,Arkadengang nördl. Aussegnungshalle,voll funktionsfähig,,nordfriedhof@muenchen.de,https://www.muenchen.de/,370039820,Gesundheitsreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693297.1634008735 5339004.973897849)
wc_finder_opendata.40,Öffentliche Toilette Behinderten,München,80805,Ungererstraße,130,EG,1.1.6.016,s. Friedhofsöffnungszeiten,divers/unisex und barrierefrei,,0,Arkadengang nördl. Aussegnungshalle,voll funktionsfähig,,nordfriedhof@muenchen.de,https://www.muenchen.de/,370039820,Gesundheitsreferat,06.09.2023 / 06.09.2023,,1,1,Sonstige Tür ,0,0,1,0,0,200,,mobil,>10%,0,0,0,0,0,0,1,18,0,Schiebetür,120,0,0,1,0,,,,,Sonstige Tür ,0,0,1,0,0,140,84,Schiebetür,0,0,1,0,1,0,0,100,120,95,83,71,33,1,1,,73,49,200,40,37,1,0,0,100,nicht vorhanden,,,,POINT (693294.7281008735 5339006.302297848)
wc_finder_opendata.41,"Brausebad / Gaststätte ""Das Bad""",München,80336,Bavariaring,5,1.UG,,täglich 12:00 Uhr bis 22:00 Uhr,barrierefrei,,0,,voll funktionsfähig,,im-vs.kom@muenchen.de,https://www.dasbad089.de,93921770,Kommunalreferat,07.02.2024 / 07.02.2024,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mind. 100,,,,,,1,1,,,,,mind. 90,mind. 90,,,,,in der Nähe des WC-Beckens angebracht,,,,POINT (689694.6800007967 5334610.629998091)
